t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.2447993,-2.648409,2.815282,28.15282,39.62906,0
0.2453993,-2.646716,2.821638,28.21638,39.8082,0
0.2459993,-2.645019,2.82799,28.2799,39.98764,0
0.2465993,-2.643318,2.834338,28.34338,40.16737,0
0.2471993,-2.641614,2.840682,28.40682,40.34738,0
0.2477993,-2.639906,2.847022,28.47022,40.52767,0
0.2483993,-2.638194,2.853358,28.53358,40.70826,0
0.2489993,-2.636478,2.859689,28.5969,40.88912,0
0.2495993,-2.634758,2.866017,28.66017,41.07027,0
0.2501993,-2.633035,2.87234,28.7234,41.2517,0
0.2507993,-2.631308,2.87866,28.7866,41.43341,0
0.2513993,-2.629577,2.884975,28.84975,41.6154,0
0.2519993,-2.627842,2.891286,28.91286,41.79767,0
0.2525993,-2.626103,2.897593,28.97593,41.98022,0
0.2531993,-2.624361,2.903895,29.03895,42.16304,0
0.2537993,-2.622615,2.910194,29.10194,42.34615,0
0.2543993,-2.620865,2.916488,29.16488,42.52952,0
0.2549993,-2.619111,2.922778,29.22778,42.71316,0
0.2555993,-2.617354,2.929064,29.29064,42.89708,0
0.2561994,-2.615593,2.935346,29.35346,43.08127,0
0.2567994,-2.613828,2.941623,29.41623,43.26573,0
0.2573994,-2.612059,2.947896,29.47896,43.45046,0
0.2579994,-2.610286,2.954165,29.54165,43.63546,0
0.2585994,-2.60851,2.96043,29.6043,43.82072,0
0.2591994,-2.60673,2.96669,29.6669,44.00626,0
0.2597994,-2.604946,2.972946,29.72946,44.19205,0
0.2603994,-2.603159,2.979198,29.79198,44.37811,0
0.2609994,-2.601368,2.985446,29.85446,44.56443,0
0.2615995,-2.599573,2.991689,29.91689,44.75101,0
0.2621995,-2.597774,2.997928,29.97928,44.93786,0
0.2627995,-2.595971,3.004163,30.04163,45.12497,0
0.2633995,-2.594165,3.010393,30.10393,45.31233,0
0.2639995,-2.592355,3.016619,30.16619,45.49995,0
0.2645995,-2.590541,3.022841,30.22841,45.68783,0
0.2651995,-2.588724,3.029058,30.29058,45.87596,0
0.2657995,-2.586903,3.035271,30.35271,46.06435,0
0.2663995,-2.585078,3.04148,30.41479,46.25299,0
0.2669995,-2.583249,3.047684,30.47684,46.44188,0
0.2675996,-2.581417,3.053884,30.53884,46.63102,0
0.2681996,-2.579581,3.060079,30.60079,46.82041,0
0.2687996,-2.577741,3.06627,30.6627,47.01006,0
0.2693996,-2.575897,3.072456,30.72456,47.19994,0
0.2699996,-2.57405,3.078639,30.78638,47.39008,0
0.2705996,-2.572199,3.084816,30.84816,47.58046,0
0.2711996,-2.570345,3.09099,30.9099,47.77108,0
0.2717996,-2.568486,3.097158,30.97158,47.96195,0
0.2723996,-2.566624,3.103323,31.03323,48.15306,0
0.2729996,-2.564759,3.109483,31.09483,48.34441,0
0.2735997,-2.562889,3.115638,31.15638,48.536,0
0.2741997,-2.561016,3.121789,31.21789,48.72783,0
0.2747997,-2.559139,3.127935,31.27935,48.9199,0
0.2753997,-2.557259,3.134077,31.34077,49.1122,0
0.2759997,-2.555375,3.140215,31.40215,49.30474,0
0.2765997,-2.553487,3.146348,31.46347,49.49751,0
0.2771997,-2.551596,3.152476,31.52476,49.69052,0
0.2777997,-2.5497,3.1586,31.586,49.88376,0
0.2783997,-2.547802,3.164719,31.64719,50.07723,0
0.2789997,-2.545899,3.170834,31.70834,50.27093,0
0.2795998,-2.543993,3.176944,31.76944,50.46486,0
0.2801998,-2.542083,3.183049,31.83049,50.65902,0
0.2807998,-2.54017,3.18915,31.8915,50.8534,0
0.2813998,-2.538253,3.195247,31.95247,51.04801,0
0.2819998,-2.536332,3.201339,32.01339,51.24284,0
0.2825998,-2.534407,3.207426,32.07426,51.4379,0
0.2831998,-2.532479,3.213508,32.13508,51.63318,0
